SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,1.16003,0.144441,0.127982,1.10805,0.736337
L,0.309958,0.144386,0.127739,1.10608,0.734911
R,0.188661,0.144352,0.127496,1.10414,0.733496
L,0.482967,0.144311,0.12725,1.10222,0.732101
R,4.80933,0.144349,0.12702,1.10035,0.7307
L,5.53304,0.144252,0.126793,1.09843,0.729364
R,2.5145,0.144114,0.126586,1.09645,0.728036
L,2.39439,0.143921,0.126479,1.09446,0.726792
R,2.87044,0.143675,0.126427,1.09243,0.725552
L,2.64742,0.143515,0.126305,1.09045,0.724265
R,0.958081,0.143366,0.12619,1.08848,0.722974
L,6.1751,0.143176,0.125971,1.08651,0.721635
R,7.32004,0.142953,0.125737,1.08451,0.720293
L,0.167955,0.14273,0.125507,1.08253,0.718959
R,3.56315,0.142501,0.125285,1.08056,0.717633
L,0.158383,0.142298,0.125071,1.07862,0.716315
R,3.02125,0.142154,0.124842,1.07675,0.715004
L,0.423371,0.142025,0.124618,1.0749,0.713712
R,2.93967,0.141841,0.124396,1.073,0.712428
L,6.81208,0.141623,0.124323,1.0711,0.711264
R,3.35297,0.141389,0.1242,1.0692,0.710062
L,3.02072,0.141242,0.12413,1.06736,0.708892
R,1.1932,0.141087,0.124091,1.0655,0.707741
L,1.28043,0.140907,0.124003,1.06365,0.706558
R,4.61692,0.140699,0.123888,1.0618,0.70536
L,2.1667,0.140496,0.123691,1.05996,0.704122
R,9.21328,0.140248,0.123505,1.05808,0.702899
L,2.66351,0.14001,0.123287,1.05622,0.70166
R,8.86288,0.139802,0.123096,1.05439,0.70044
L,0.285548,0.139622,0.12293,1.05257,0.699236
R,1.10925,0.139468,0.12274,1.05077,0.698025
L,4.22516,0.139252,0.122529,1.04895,0.696819
R,4.21541,0.139064,0.122354,1.04716,0.695652
L,1.50843,0.138952,0.122184,1.0454,0.694485
R,3.1959,0.138823,0.121983,1.04361,0.693297
L,2.61996,0.138635,0.121776,1.04183,0.692111
R,2.54883,0.13848,0.121573,1.04006,0.690939
L,0.0730048,0.138322,0.121373,1.0383,0.689774
R,6.45771,0.138111,0.121168,1.03654,0.688604
L,1.30147,0.137899,0.120982,1.0348,0.68746
R,1.62852,0.137671,0.120788,1.0331,0.686312
L,1.3154,0.137443,0.120594,1.03146,0.685175
R,4.75095,0.137213,0.120405,1.02976,0.684064
L,0.0638711,0.136985,0.120213,1.02807,0.682958
R,1.88569,0.136757,0.120021,1.02639,0.681868
L,0.792471,0.136533,0.119856,1.02471,0.680816
R,0.693411,0.136312,0.119724,1.02303,0.679806
L,0.166551,0.13609,0.119639,1.02138,0.67884
R,2.18159,0.13588,0.119609,1.01972,0.677925
L,0.509998,0.13568,0.119537,1.01806,0.676965
R,2.85895,0.135497,0.119482,1.01641,0.676043
L,1.86741,0.135329,0.119331,1.01475,0.675023
